"","stuntingZ_all_2015","stuntingZ_all_2015p","term","stuntingZ_all_2012","stuntingZ_all_2012p","stuntingZ_nogeo_2015","stuntingZ_nogeo_2015p","stuntingZ_nogeo_2012","stuntingZ_nogeo_2012p","stuntingZ_noMomData_2015","stuntingZ_noMomData_2015p","stuntingZ_noMomData_2012","stuntingZ_noMomData_2012p","stuntingZ_FCSgrps_2015","stuntingZ_FCSgrps_2015p","stuntingZ_plusAltitude_2012","stuntingZ_plusAltitude_2012p"
"39",0.0326515553340259,0.197357931491198,"FCS",0.0461164222467635,0.0368910981003849,0.0800685942708593,0.001195028732709,0.0648836448665212,0.00255929002075578,0.0727984853712595,0.00127814971230439,0.0964049637645342,4.1243148779817e-07,NA,NA,0.0445687454101743,0.0430943941528772
"40",-0.0311447824998833,0.612339437260216,"CSI_catMedium coping",-0.0320200191246186,0.577442193198718,-0.0219064083970583,0.723440985381392,-0.0310612541364999,0.585878368978392,-0.0322328210104161,0.555316746696188,-0.0689293390578057,0.182081748957636,-0.044011610704474,0.421686814095635,-0.0238470343214513,0.677434420859531
"41",0.00873854612760392,0.886289159613715,"CSI_catHigh coping",0.0882778259185089,0.175957123391336,0.0459364348726313,0.454527608658165,0.070354247012623,0.275051485779817,-0.00772601731462649,0.888023775803966,0.0106536204406123,0.852924694208342,-0.0254685160075065,0.642207901116497,0.0916882697890758,0.158625799576024
"42",-0.0156293551626263,0.789376807535781,"CSI_catLow coping",-0.0530101197373701,0.221350074239096,-0.0115113747906157,0.845286558315056,-0.0694928365836418,0.104943606556608,-0.04121258290129,0.434784966122778,-0.0535538287218437,0.167802173480298,-0.0496964157353688,0.345462535141796,-0.0545864240097667,0.206571238890066
"43",-0.0237258496646892,0.282479229649661,"months_food_access",-0.00234801378495995,0.908130992548659,-0.0300446183349623,0.179130285581277,-0.0111022782687344,0.581872812503962,-0.0283378049909728,0.152176853928924,-0.0275642625048205,0.127576893281187,-0.0297096720373128,0.135863835624177,-0.00270706732113752,0.893844013100262
"44",-0.00595681657994583,0.920773581403653,"shock_drought",0.0210979259334773,0.705096531823858,0.0567429894426208,0.342111317049719,0.0543163207261197,0.323324032431698,NA,NA,NA,NA,NA,NA,0.0285266565922156,0.607940683571178
"45",-0.142604304397628,0.0274751853184219,"shock_illness",-0.0235110640719309,0.637239780896975,-0.108183060648811,0.0976851043696027,-0.0272538234786638,0.58090496244536,NA,NA,NA,NA,NA,NA,-0.0344272217133279,0.489091509444242
"46",-0.0462295468483731,0.700493126063714,"food_assistanceyes, from friends/relatives",NA,NA,-0.157585662801954,0.193016123823844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",-0.276897589262997,0.0270489609024775,"food_assistanceyes",NA,NA,-0.331662314450911,0.00895029993835504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",0.111732226919901,0.0756945271144908,"financial_assistance",0.0121656108802352,0.83557165729534,0.106362057788424,0.0954189062918914,0.017258908433927,0.767233324200326,NA,NA,NA,NA,NA,NA,0.0150382248221956,0.796925559965068
"49",-0.023492951443955,0.825268446684951,"ag_assistance",-0.0512663068030762,0.521344922417045,-0.0113466029562652,0.916007221648605,-0.0819220637280998,0.303453753008725,NA,NA,NA,NA,NA,NA,-0.0626698127678354,0.431944341783712
"50",0.0575204377088695,0.0420505131664003,"wealth_idx_num",0.0214751405928564,0.36361928664725,0.0767000674389199,0.0068149560638769,0.0133055394964887,0.565021228597427,0.0465876466207754,0.0643287676911883,NA,NA,0.054551337366128,0.0289501820021997,0.0187557714767853,0.426270763682807
"51",0.089775860900322,0.187596347081583,"livelihood_zoneCentral Plateau Cassava and Coffee Zone",0.237686791865544,0.000215454578158005,NA,NA,NA,NA,0.121260088537769,0.0421630351953419,NA,NA,0.135588394543307,0.0245664206232776,0.246224061543795,0.000121732524639204
"52",-0.257519378189921,0.000281606831996991,"livelihood_zoneEast Congo-Nile Highland Subsistence Farming Zone",0.0884577959442613,0.18374906852319,NA,NA,NA,NA,-0.214666149811982,0.000622788050754089,NA,NA,-0.202766271939031,0.001416241352569,0.166178151946386,0.0153588696899967
"53",0.0626131171576787,0.415416886398708,"livelihood_zoneSoutheastern Plateau Banana Zone",0.286166809173915,0.000111509501321786,NA,NA,NA,NA,0.0628422098178913,0.361994562530839,NA,NA,0.0649678489904729,0.349460755781373,0.246143659437702,0.000930014822837993
"54",-0.343957783579767,6.31211333868438e-05,"livelihood_zoneNorthwest Volcanic Irish Potato Zone",-0.0934247965539147,0.229211189382793,NA,NA,NA,NA,-0.410293590924216,6.1912579421201e-08,NA,NA,-0.404723057583972,1.32309988833866e-07,0.064662181459787,0.446796159482773
"55",0.153773036758175,0.145967561901573,"livelihood_zoneKigali city",0.422957163362236,0.000557630152248173,NA,NA,NA,NA,0.15118738508653,0.109174557094382,NA,NA,0.182369648018424,0.0524608724205172,0.377139175582356,0.0020924239912778
"56",-0.413018995308079,2.04448034203055e-06,"livelihood_zoneWest Congo-Nile Crest Tea Zone",-0.103223639365565,0.201426016893041,NA,NA,NA,NA,-0.34874157832873,6.48866055992346e-06,NA,NA,-0.327994681797315,2.84737748563177e-05,0.0934942298656327,0.307241028514792
"57",-0.111350816085823,0.216876485295928,"livelihood_zoneCentral-Northern Highland Irish Potato, Beans and Vegetable Zone",0.185828361177308,0.0226299502294669,NA,NA,NA,NA,-0.138422706434884,0.0881910746671452,NA,NA,-0.134776925274529,0.100234074597062,0.278763074291271,0.000888753401809947
"58",-0.100919835017038,0.261550098783841,"livelihood_zoneEastern Plateau Mixed Agriculture Zone",0.19048646806137,0.0299009704239011,NA,NA,NA,NA,-0.10298387060927,0.20577933058913,NA,NA,-0.0839971748363456,0.306260220256164,0.170844548918006,0.0510469798822758
"59",-0.146448743149803,0.15206094839392,"livelihood_zoneEastern Agropastoral Zone",0.187439771598246,0.0452923744574451,NA,NA,NA,NA,-0.118913497316628,0.192966383851738,NA,NA,-0.105212497070659,0.252012502720102,0.117709963207294,0.213384551676669
"60",-0.0341044616116336,0.741868436690508,"livelihood_zoneBugesera Cassava Zone",0.148362645127511,0.107677614238777,NA,NA,NA,NA,0.0446502510982452,0.631422718529787,NA,NA,0.0320495512882762,0.732022073014693,0.0792026413774967,0.395426623966267
"61",-0.350199614142036,0.000569705046049177,"livelihood_zoneNorthern Highland Beans and Wheat Zone",-0.247732660741214,0.0214212303112054,NA,NA,NA,NA,-0.249526385672895,0.00753248565063391,NA,NA,-0.234348707520243,0.0131555061092324,-0.101530431122959,0.365083503504389
"62",0.515554363902397,0.000194397997409026,"livelihood_zoneEastern Semi-Arid Agropastoral Zone",0.257119597777135,0.029636630332021,NA,NA,NA,NA,0.498338248986983,0.000102709538942951,NA,NA,0.492480227610087,0.000139774772571367,0.188258287378495,0.113125252256741
"63",NA,NA,"interview_date.x",0.0148518413990187,0.377396789447283,NA,NA,0.00849927320993215,0.606665019976422,NA,NA,-0.00954869096304092,0.518999369737517,NA,NA,0.0118101675607397,0.481753027228272
"64",NA,NA,"kids_under5",-0.0439785778039624,0.00992656936753913,NA,NA,-0.0504062430342169,0.00298326823467308,NA,NA,-0.0599294908601215,9.08284928509066e-05,NA,NA,-0.0448435529120562,0.00836996010564012
"65",NA,NA,"fem_headFemale",-0.0460242065414836,0.365003448866745,NA,NA,-0.040553164178773,0.422562031304254,NA,NA,-0.040791496434469,0.356469293414477,NA,NA,-0.0493652099947465,0.32983720575085
"66",NA,NA,"low_birthwt",-0.234894279044575,5.15997059243936e-07,NA,NA,-0.235335161486895,4.57804179361544e-07,NA,NA,-0.232228780612049,2.73140157628375e-08,NA,NA,-0.239897510358183,2.73744556582097e-07
"67",NA,NA,"health_less_60min",0.15758516420122,8.61697611814361e-06,NA,NA,0.129233218435921,0.000203578358015968,NA,NA,0.103845131477289,0.00100713866168526,NA,NA,0.147002100524823,3.25855375224947e-05
"68",NA,NA,"land_size_catno land",-0.0474303241954345,0.441078683878614,NA,NA,-0.0624721034372256,0.294422957816845,NA,NA,-0.0169251238426826,0.756199732849765,NA,NA,-0.0488783072733269,0.425876885346107
"69",NA,NA,"mother_educationsome_prim",0.0285818984257581,0.503950353170542,NA,NA,0.0175118182492913,0.680410028329912,NA,NA,NA,NA,NA,NA,0.0196015744737683,0.646088537696759
"70",NA,NA,"mother_educationprim_vocational",0.0239734306736939,0.606122018307013,NA,NA,0.0307255534580399,0.505229480483357,NA,NA,NA,NA,NA,NA,0.019265579092216,0.677771482861423
"71",NA,NA,"mother_educationsec_plus",0.334043960834224,0.000611167729135991,NA,NA,0.361199642544975,0.000190897075615593,NA,NA,NA,NA,NA,NA,0.335707038251904,0.000552428960659044
"72",NA,NA,"food_assistance",-0.157617790182977,0.0178425934034975,NA,NA,-0.161192544478352,0.0144695231513776,NA,NA,NA,NA,NA,NA,-0.152112051540431,0.0218666159316738
"73",NA,NA,"altitude",NA,NA,NA,NA,-0.129666959769278,1.71502518537537e-14,NA,NA,NA,NA,NA,NA,-0.109591103201747,6.44058755572875e-06
"74",NA,NA,"protein_daysconsumed sometimes (1 - 6 times a week)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0277315276979817,0.482350513416849,NA,NA
"75",NA,NA,"protein_daysnever consumed (0 times)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.109461003078222,0.178933153769985,NA,NA
"76",NA,NA,"ironrich_daysconsumed sometimes (1 - 6 times a week)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299001928220891,0.423569110897629,NA,NA
"77",NA,NA,"ironrich_daysconsumed at least daily (at least 7 times a week)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076152704160816,0.438454946621073,NA,NA
"78",NA,NA,"vitAfruitveg_daysconsumed sometimes (1 - 6 times a week)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0762498737518189,0.0335327950686983,NA,NA
"79",NA,NA,"vitAfruitveg_daysnever consumed (0 times)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.181337593062692,0.0237197748746745,NA,NA
